"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"GI-1",906871,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"MFH-ino",925343,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","D/F12","Adherent"
"MEG-01",908126,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"KYSE-510",907321,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KU812",907311,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"KCL-22",1330931,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSI-H","R","Suspension"
"LAN-6",949170,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"LXF-289",753592,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"LN-18",1240168,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"FU97",1290806,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"GCT",906999,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","R","Adherent"
"GI-ME-N",906872,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"MFE-280",908129,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSS/MSI-L","D/F12","Adherent"
"KS-1",907313,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"KMRC-1",1298168,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"KOSC-2",753570,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"LU-135",713899,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"LS-513",907795,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"LNZTA3WT4",1240170,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"G-361",906865,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"GR-ST",906877,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSI-H","R","Suspension"
"MOLT-16",908147,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"Mewo",908128,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"KYSE-70",753576,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KOPN-8",1330933,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"KMRC-20",1298169,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"LB2241-RCC",753578,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"LU-65",724863,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Suspension"
"LS-180",998189,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"LAMA-84",907783,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"FU-OV-1",1240129,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"G-MEL",1240130,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"G-292 Clone A141B1",1290807,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"MOLT-13",908146,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSI-H","R","Suspension"
"ME-180",687514,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"KYSE-140",753573,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KALS-1",907271,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","R","Adherent"
"KNS-81-FD",924188,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"LB647-SCLC",753582,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Semi-Adherent"
"LU-139",713878,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"LS-123",907792,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"GCIY",906869,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"GOTO",906875,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"G-402",907298,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","R","Adherent"
"MONO-MAC-6",908148,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"MEL-HO",908124,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"KYSE-150",907317,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KARPAS-620",1327775,"Y","Y","Y","Y","Y","myeloma","haematopoietic_neoplasm other","MM","MSS/MSI-L","R","Suspension"
"KGN",924186,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSS/MSI-L","D/F12","Adherent"
"LC4-1",907787,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"LU-165",753589,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"LS-1034",917486,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"LOUCY",907789,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"GB-1",687568,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"GT3TKB",907041,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"MKN7",924250,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"Mo-T",908149,"Y","Y","Y","Y","Y","leukemia","hairy_cell_leukaemia","","MSS/MSI-L","D/F12","Suspension"
"MS751",1240179,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"MZ7-mel",753596,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"MDST8",1240173,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"U-118-MG",687588,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"WM1552C",1299078,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"YH-13",909905,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"TE-1",753621,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"TE-8",753623,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"SiHa",930297,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"SCC-9",909709,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"SNU-182",1240216,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"SK-N-SH",717431,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"MS-1",753594,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"MZ2-MEL",971777,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"MOLM-13",1330947,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"U-698-M",909777,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"WM793B",1299081,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"YAPC",909904,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"TE-10",753622,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"TE-9",946353,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"SLVL",1331032,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SNU-449",909738,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"SW780",687457,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"SK-N-FI",688087,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"MV-4-11",908156,"Y","Y","Y","Y","Y","leukemia","leukemia","","MSS/MSI-L","D/F12","Suspension"
"MZ1-PC",753595,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"MOLT-4",905958,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSI-H","R","Suspension"
"UACC-893",909778,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"WM278",1240226,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"ZR-75-30",909907,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"TOV-21G",1240222,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSI-H","D/F12","Adherent"
"TGBC11TKB",909770,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSI-H","D/F12","Adherent"
"SNB75",905982,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"SW900",724879,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"SK-HEP-1",909719,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"ML-1",1240178,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"MG-63",908131,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","D/F12","Adherent"
"VCaP",1299075,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSS/MSI-L","D/F12","Adherent"
"WSU-NHL",909785,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","","MSI-H","R","Suspension"
"YKG-1",687592,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"TE-12",946356,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Suspension"
"THP-1",909771,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"SNU-475",909739,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"SUP-B15",1247871,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","D/F12","Suspension"
"SK-OV-3",905959,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSI-H","R","Adherent"
"ST486",910906,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"ML-2",908141,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"MHH-PREB-1",908136,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSI-H","R","Suspension"
"U-266",753615,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Semi-Adherent"
"VAL",1331048,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"WM35",1299080,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"U031",905981,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"TE-11",946354,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"T-T",1299064,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"SU-DHL-8",1331038,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SK-MEL-24",909725,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SW837",909755,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"T-24",724812,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"MRK-nu-1",908151,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Suspension"
"MCF7",905946,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"UM-UC-3",724838,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"VM-CUB-1",909780,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"WIL2-NS",1331049,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","","MSS/MSI-L","R","Suspension"
"SBC-1",713885,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"TE-15",753614,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Suspension"
"TT2609-C02",1240223,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","R","Adherent"
"SK-MEL-5",905956,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SW1990",910907,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"SW620",905962,"Y","Y","Y","N","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"T47D",905945,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"MKN28",908139,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"MMAC-SF",925339,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"U251",905983,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"VA-ES-BJ",688121,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","D/F12","Adherent"
"WSU-DLCL2",1331050,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SAS",909708,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"TE-5",735784,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"TUR",909773,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSI-H","R","Suspension"
"SJRH30",909716,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","R","Adherent"
"SW872",909756,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","D/F12","Adherent"
"SNU-387",909736,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"T98G",687586,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"MKN1",908138,"Y","Y","Y","Y","Y","digestive_system","stomach","","MSS/MSI-L","R","Adherent"
"MC116",907799,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"U-87-MG",687590,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"UMC-11",909779,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_carcinoid","","MSS/MSI-L","D/F12","Adherent"
"TE-6",946355,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"TCCSUP",687459,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"SU-DHL-10",1331033,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SK-MEL-28",905954,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SU-DHL-1",909742,"Y","Y","Y","Y","Y","lymphoma","anaplastic_large_cell_lymphoma","","MSS/MSI-L","R","Suspension"
"T84",909761,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"201T",1287381,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"A204",910784,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","R","Adherent"
"BCPAP",924104,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","R","Adherent"
"BT-20",906801,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"Ca9-22",753538,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CHP-212",906820,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"CAL-85-1",910852,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"CPC-N",753547,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"CRO-AP2",906807,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"DK-MG",906839,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"EGI-1",906853,"Y","Y","Y","Y","Y","digestive_system","biliary_tract","","MSS/MSI-L","D/F12","Adherent"
"23132-87",910924,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSI-H","R","Adherent"
"ACHN",905950,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"BE-13",906763,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"BHT-101",906696,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"CAKI-1",905963,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"COLO-679",906818,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"CAL-78",1290765,"Y","Y","Y","Y","Y","bone","chondrosarcoma","","MSS/MSI-L","R","Adherent"
"COLO-668",910692,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"D-263MG",946368,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"DMS-53",907295,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"EM-2",906855,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"42-MG-BA",687561,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"A375",906793,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"AM-38",910933,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Semi-Adherent"
"BE2-M17",753616,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"BT-549",905951,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"CAS-1",910943,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"COLO-678",910689,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Semi-Adherent"
"Capan-2",910915,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"COR-L88",906808,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"DAN-G",1290797,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"DOK",910936,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"ES4",949156,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
697,906800,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","","MSS/MSI-L","R","Suspension"
"A388",910697,"Y","Y","Y","Y","Y","skin","skin_other","","MSS/MSI-L","D/F12","Adherent"
"AN3-CA",910781,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","D/F12","Adherent"
"BEN",753534,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Adherent"
"BT-483",949093,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"CAMA-1",946382,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"COLO-320-HSR",910569,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Suspension"
"Ca-Ski",906824,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","R","Adherent"
"COR-L105",906805,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"D-502MG",946373,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"DU-145",905935,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSI-H","D/F12","Adherent"
"EN",1240127,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSS/MSI-L","R","Adherent"
"769-P",910922,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"A4-Fuk",910934,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"ARH-77",906765,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"BFTC-909",910698,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"BV-173",910710,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"Calu-6",724859,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"C-33-A",687505,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSI-H","D/F12","Adherent"
"COLO-792",906814,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"COR-L23",687780,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"Daoy",906833,"Y","Y","Y","Y","Y","nervous_system","medulloblastoma","MB","MSS/MSI-L","D/F12","Adherent"
"DoTc2-4510",906843,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"ES-2",1240128,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSS/MSI-L","R","Adherent"
"8305C",906795,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","R","Adherent"
"A431",910925,"Y","Y","Y","Y","Y","skin","skin_other","","MSS/MSI-L","D/F12","Adherent"
"ATN-1",910687,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"BHY",753535,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"C2BBe1",910700,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"CAPAN-1",753624,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"CA46",910703,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"CFPAC-1",906821,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"BPH-1",924105,"Y","Y","Y","Y","Y","urogenital_system","prostate","","MSS/MSI-L","R","Adherent"
"Detroit562",906837,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"DB",906832,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"EW-22",949167,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"A101D",910921,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
